Designator,Mid X,Mid Y,Rotation,Layer
BT1,112.225,-46.325,270.0,top
C1,149.65,-19.7,0.0,top
C10,153.39,-39.45,270.0,top
C11,153.4,-42.01,90.0,top
C12,118.556403,-61.646269,270.0,top
C15,137.62,-43.95,0.0,top
C16,131.960589,-36.035589,315.0,top
C17,123.88,-43.53,180.0,top
C18,123.85,-42.45,180.0,top
C19,135.5,-46.575,0.0,top
C2,152.3,-16.7,315.0,top
C20,130.55,-48.475,270.0,top
C21,127.15,-38.275,90.0,top
C22,137.49,-41.35,0.0,top
C23,125.3,-46.12,180.0,top
C24,134.45,-36.45,90.0,top
C25,123.625,-53.775,225.0,top
C26,124.75,-48.3,180.0,top
C27,126.05,-49.875,270.0,top
C28,127.075,-55.25,270.0,top
C29,144.15,-44.66,270.0,top
C3,143.159999,-12.695,90.0,top
C30,137.4,-32.8,0.0,top
C31,143.7,-29.0,90.0,top
C4,130.365,-18.035,270.0,top
C5,107.4,-10.8,270.0,top
C8,121.075,-34.275,0.0,top
C9,124.15,-38.1,90.0,top
D1,146.2,-41.805001,270.0,top
D10,111.725,17.245003,0.0,top
D11,115.175,16.420003,0.0,top
D12,108.625,16.220003,270.0,top
D13,120.775,16.795003,315.0,top
D14,130.625,5.505,270.0,top
D15,124.8,15.545003,0.0,top
D16,107.475,9.13,270.0,top
D17,107.475,4.98,270.0,top
D18,143.19,1.55,0.0,top
D19,118.34,-5.37,0.0,top
D2,150.85,-36.0,180.0,top
D3,146.17,-32.0,90.0,top
D4,145.72,-26.76,90.0,top
D5,148.8,-14.67,180.0,top
D6,123.990001,-21.195,180.0,top
D7,137.42,-14.56,180.0,top
D8,112.715001,-21.445,180.0,top
DAC1,144.5,-18.47,90.0,top
F1,144.07,-32.28,270.0,top
F2,146.07,-22.52,270.0,top
J1,137.525,-4.915,0.0,top
J10,113.440001,3.93,0.0,top
J14,112.940001,-12.27,0.0,top
J2,124.070001,-12.22,0.0,top
J3,151.16,-52.05,90.0,top
J4,150.73,-27.78,180.0,top
J5,130.94,-58.4,270.0,top
J6,148.925,11.005,0.0,top
J7,137.725,10.685,0.0,top
J8,148.725,-4.795,0.0,top
J9,124.240001,3.81,0.0,top
L1,123.5,-50.0,180.0,top
R1,137.825,-19.375,225.0,top
R10,130.525,-10.275,270.0,top
R11,130.575,-13.05,90.0,top
R12,130.39,-15.91,90.0,top
R13,140.87,-21.69,225.0,top
R14,107.075,-18.55,90.0,top
R15,107.21,-15.625,270.0,top
R16,107.425,-12.8,270.0,top
R17,123.15,-34.275,0.0,top
R18,145.835,-55.23,270.0,top
R19,144.66,-48.405,90.0,top
R2,153.975,-16.725,90.0,top
R20,117.256403,-60.571269,270.0,top
R21,119.5,-58.5,0.0,top
R22,119.506405,-59.796268,0.0,top
R23,123.55,-52.225,225.0,top
R24,127.125,-51.85,90.0,top
R25,126.1,-51.875,90.0,top
R26,0.955,-0.495,0.0,top
R27,0.955,-2.485,0.0,top
R28,144.735624,-56.760624,315.0,top
R29,134.675,-48.525,315.0,top
R3,153.5,-13.925,90.0,top
R30,132.7,-33.92,270.0,top
R31,126.275,-66.4,0.0,top
R32,149.975,-16.82,0.0,top
R33,128.6,-66.4,180.0,top
R34,125.065001,-23.445,0.0,top
R35,128.925,13.570003,90.0,top
R36,118.674998,15.840003,270.0,top
R37,127.3,14.870003,270.0,top
R38,117.675,15.840003,270.0,top
R39,130.6,2.555,270.0,top
R4,154.55,-8.8,270.0,top
R40,130.575,0.305,90.0,top
R41,107.575,1.465,270.0,top
R42,107.5,-0.845,90.0,top
R43,140.75,-14.9,225.0,top
R44,113.790001,-23.67,0.0,top
R46,143.15,-1.51,90.0,top
R47,118.59,-8.23,90.0,top
R5,138.675,-20.4,225.0,top
R6,143.15,-4.55,270.0,top
R7,143.13,-7.35,90.0,top
R8,143.18,-10.23,90.0,top
R9,139.84,-21.05,225.0,top
S1,147.22,-73.46,180.0,bottom
SW1,150.624999,-61.499999,180.0,top
SW2,119.174999,-74.199999,180.0,top
SW3,132.349999,-74.199999,180.0,top
SW4,131.3,-26.499999,90.0,top
U2,149.864998,-40.005,0.0,top
U3,113.206405,-60.996267,180.0,top
U5,132.025,-53.0,180.0,top
U6,130.387499,-43.375001,180.0,top
U7,139.23,-27.54,270.0,top
Y1,121.55,-37.0,270.0,top
Y2,108.2,-61.4,270.0,top
