"Reference","Value","LCSC","Datasheet","Footprint","Qty","DNP","JLC"
"R29","0","","~","Resistor_SMD:R_0402_1005Metric","1","",""
"C8,C9","27p","C1557","~","Capacitor_SMD:C_0402_1005Metric","2","",""
"C1,C15,C17,C18,C19,C20,C21,C22,C23,C24,C28,C30,C31","100n","C1525","~","Capacitor_SMD:C_0402_1005Metric","13","","-- mixed values --"
"C2,C3,C4,C5","100nf","C1525","~","Capacitor_SMD:C_0402_1005Metric","4","",""
"L1","3.3u","C695126","~","RP2350_60QFN_minimal:L_pol_2016","1","",""
"C16,C25,C26,C27","4.7u","C23733","~","Capacitor_SMD:C_0402_1005Metric","4","",""
"C10,C11,C12,C29","10u","C25741","~","Capacitor_SMD:C_0402_1005Metric","4","",""
"R24,R25","27","C25100","~","Resistor_SMD:R_0402_1005Metric","2","",""
"R23","33","","~","Resistor_SMD:R_0402_1005Metric","1","",""
"R32,R34,R43,R44,R46,R47","100r","C25076","~","Resistor_SMD:R_0402_1005Metric","6","",""
"R35,R36,R39,R41","470","C25117","~","Capacitor_SMD:C_0402_1005Metric","4","",""
"R1,R4,R5,R6,R9,R10,R13,R14,R17,R20,R28","1k","C11702","~","-- mixed values --","11","",""
"R18,R19","5.1k","C25905","~","Capacitor_SMD:C_0402_1005Metric","2","",""
"D1,D2","5819","C8598","~","Diode_SMD:D_SOD-123","2","",""
"R30,R31,R33","10K","C25744","~","Capacitor_SMD:C_0402_1005Metric","3","",""
"R21,R22","10k","C25744","~","Capacitor_SMD:C_0402_1005Metric","2","",""
"R2,R8,R12,R16","100k","C25741","~","Capacitor_SMD:C_0402_1005Metric","4","",""
"R37,R38,R40,R42","100K","C25741","~","Capacitor_SMD:C_0402_1005Metric","4","",""
"R3,R7,R11,R15","400k","","~","Capacitor_SMD:C_0402_1005Metric","4","",""
"J6,J7,J9,J10","AudioJack2","","~","Connector_Audio:_Jack_3.5mm_QingPu_JACK_ANCHOR","4","",""
"D10,D11,D12,D13,D14,D15,D16,D17","BAT43W-V","C134399","http://www.vishay.com/docs/85660/bat42.pdf","Diode_SMD:D_SOD-323","8","",""
"BT1","Battery_Cell","C964818","~","Battery:BatteryHolder_Keystone_3000_1x12mm","1","",""
"SW2","btnA","","~","Button_Switch_THT:SW_PUSH_6mm","1","",""
"SW3","btnB","","~","Button_Switch_THT:SW_PUSH_6mm","1","",""
"SW1","btnBOOT","","~","Button_Switch_THT:SW_PUSH_6mm","1","",""
"SW4","btnHand","","~","Button_Switch_THT:SW_PUSH_6mm","1","",""
"J4","Conn_02x05","","~","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","1","",""
"Y2","Crystal DST310S 32.768KHz","C93232","~","Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm","1","",""
"R26,R27","DNF","","~","Resistor_SMD:R_0402_1005Metric","2","",""
"U4","ESP32-PICO-D4","","https://www.espressif.com/sites/default/files/documentation/esp32-pico-d4_datasheet_en.pdf","RPi_Pico:RPi_Pico_SMD_TH","1","",""
"S1","JS5208","","","4ms_Connector:sw_nav_5way","1","",""
"D5,D8","L1","","~","LED_SMD:LED_PLCC_2835","2","",""
