Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Keystone_3000_1x12mm,1,Battery_Cell,C964818
"C1, C15, C17, C18, C19, C2, C20, C21, C22, C23, C24, C28, C3, C30, C31, C4, C5",0402,17,100n,C1525
"C10, C11, C12, C29",0402,4,10u,C15525
"C16, C25, C26, C27",0402,4,4.7u,C23733
"C8, C9",0402,2,27p,C1557
"D1, D2",D_SOD-123,2,5819,C8598
"D10, D11, D12, D13, D14, D15, D16, D17",D_SOD-323,8,BAT43W-V,C134399
D18,LED_PLCC_2835,1,Lselect,C7500124
D19,LED_PLCC_2835,1,Rselect,C7500124
"D3, D4",D_SOD-123,2,SM4001,C151781
"D5, D7",LED_PLCC_2835,2,R2,C7500124
D6,LED_PLCC_2835,1,L2,C7500124
D8,LED_PLCC_2835,1,L1,C7500124
DAC1,MSOP-10_3x3mm_P0.5mm,1,MCP4728,C108207
"F1, F2",0805,2,SMD0805P010TF polyfuse,C20975
J1,_Jack_3.5mm_QingPu_JACK_ANCHOR,1,out 3,
"J10, J6, J7, J9",_Jack_3.5mm_QingPu_JACK_ANCHOR,4,AudioJack2,
J14,_Jack_3.5mm_QingPu_JACK_ANCHOR,1,out 1,
J2,_Jack_3.5mm_QingPu_JACK_ANCHOR,1,out 2,
J3,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0,C2988369
J4,PinHeader_2x05_P2.54mm_Vertical,1,Conn_02x05,
J5,PinSocket_1x04_P2.54mm_Vertical,1,OLED DISP,
J8,_Jack_3.5mm_QingPu_JACK_ANCHOR,1,out 4,
L1,L_pol_2016,1,3.3u,C42411119
"R1, R10, R13, R14, R17, R20, R28, R4, R5, R6, R9",0402,11,1k,C11702
"R11, R15, R3, R7",0805,4,400k,
"R12, R16, R2, R37, R38, R40, R42, R8",0402,8,100k,C25741
"R18, R19",0402,2,5.1k,C25905
"R21, R22, R30, R31, R33",0402,5,10k,C25744
R23,0402,1,33,C25105
"R24, R25",0402,2,27,C25100
"R26, R27",0402,2,DNF,
R29,0402,1,1k,
"R32, R34, R43, R44",0402,4,3.3k,C25890
"R35, R36, R39, R41",0402,4,470,C25117
"R46, R47",0402,2,100r,C25076
S1,sw_nav_5waySUPRA,1,JS5208,
SW1,SW_PUSH_6mm,1,btnBOOT,
SW2,SW_PUSH_6mm,1,btnA,
SW3,SW_PUSH_6mm,1,btnB,
SW4,SW_PUSH_6mm,1,btnHand,
U2,SOT-89-3,1,LD1117S33CTR,C81768
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,PCF8523T,C2651516
U5,SON50P300X200X60-9N,1,W25Q128JVS,C2843335
U6,RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2350_60QFN,C42411118
U7,SOIC-14_3.9x8.7mm_P1.27mm,1,OPA1679,C2878631
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,X322512MSB4SI (mini 12MhZ crystal),C20625731
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,Crystal DST310S 32.768KHz,C93232
